rank,retriever,reranker,ndcg_at_10,note
1,nv-embed-v2,jina-reranker-v3,0.8658,Best combination (selected)
2,qwen3-embed-0.6b,bge-reranker-v2-m3,0.8438,Fast alternative
3,qwen3-embed-0.6b,jina-reranker-v3,0.8405,
4,bge-m3,jina-reranker-v3,0.8395,Hybrid baseline
5,bge-large-en-v1.5,jina-reranker-v2,0.8366,Classic baseline
6,gte-large-en-v1.5,jina-reranker-v2,0.8366,
7,mxbai-embed-large,jina-reranker-v2,0.8366,
8,arctic-embed-m-v1.5,bge-reranker-large,0.8323,
9,bge-en-icl,bge-reranker-large,0.8323,
10,e5-mistral-7b,bge-reranker-large,0.8323,Large model baseline
